Dossier 	 Achatina 	Helena 	75.8 	78.2 	Southern Islets 	141
Note 	Note #28 	Helena 	22.3 	23.4 	Whitesky Peak 	286
Note 	Note #29 	Helena 	16.3 	81.2 	The Dead Island 	287
Note 	Note #30 	Helena 	19.2 	77.1 	Tek Cave ascension area 	352
Record 	Record #1 	Rockwell 	25.3 	73.1 	The Hidden Lake 	2
Record 	Record #2 	Rockwell 	83.2 	24.8 	Cragg's Island 	79
Record 	Record #3 	Rockwell 	54.8 	13.8 	The Western Coast 	80
Record 	Record #4 	Rockwell 	14.1 	85.9 	The Dead Island 	81
Record 	Record #5 	Rockwell 	21.3 	69.2 	The Hidden Lake 	118
Record 	Record #6 	Rockwell 	46.4 	83.7 	The Caverns of Lost Hope 	137
Record 	Record #7 	Rockwell 	44.1 	81.4 	The Eastern Forest 	138
Record 	Record #8 	Rockwell 	64.5 	34.1 	The Redwood Forests 	147
Record 	Record #9 	Rockwell 	61.7 	16.1 	The Caverns of Lost Faith 	155
Record 	Record #10 	Rockwell 	75.7 	71.5 	Southern Islets 	168
Record 	Record #11 	Rockwell 	80 	67.1 	Southern Islets 	177
Record 	Record #12 	Rockwell 	82.6 	51.3 	Southern Islets 	178
Record 	Record #13 	Rockwell 	64.1 	61.6 	The Writhing Swamps 	179
Record 	Record #14 	Rockwell 	58.6 	49 	The Red Peak 	180
Record 	Record #15 	Rockwell 	70.2 	32 	The Writhing Swamps 	181
Record 	Record #16 	Rockwell 	69.5 	24.8 	The Writhing Swamps 	182
Record 	Record #17 	Rockwell 	40.8 	47.7 	Central Cave 	183
Record 	Record #18 	Rockwell 	68.7 	86.1 	Lava Cave 	184
Record 	Record #19 	Rockwell 	83.8 	27.7 	Cragg's Island 	241
Record 	Record #20 	Rockwell 	86.4 	26.7 	Cragg's Island 	242
Record 	Record #21 	Rockwell 	77.1 	31.6 	The Footpaw 	243
Record 	Record #22 	Rockwell 	76 	46.7 	Southern Islets 	244
Record 	Record #23 	Rockwell 	75.5 	74 	Southern Islets 	245
Record 	Record #24 	Rockwell 	76.5 	68.1 	Southern Islets 	246
Record 	Record #25 	Rockwell 	75 	65.6 	Southern Islets 	247
Record 	Record #26 	Rockwell 	75.8 	75.5 	Southern Islets 	248
Record 	Record #27 	Rockwell 	20.1 	85.9 	The Dead Island 	296
Record 	Record #28 	Rockwell 	78.3 	47.3 	Southern Islets 	297
Record 	Record #29 	Rockwell 	14.2 	75.6 	Tek Cave ascension area 	351
Note 	Note #1 	Mei Yin 	25 	18.9 	Whitesky Peak 	3
Note 	Note #2 	Mei Yin 	15.2 	20.7 	Whitesky Peak 	4
Note 	Note #3 	Mei Yin 	15.8 	52.5 	Winter's Mouth 	82
Note 	Note #4 	Mei Yin 	19.8 	30.1 	Whitesky Peak 	83
Note 	Note #5 	Mei Yin 	26.6 	16.4 	Whitesky Peak 	124
Note 	Note #6 	Mei Yin 	16.8 	29 	Whitesky Peak 	125
Note 	Note #7 	Mei Yin 	21.3 	30 	Whitesky Peak 	126
Note 	Note #8 	Mei Yin 	32.5 	16.1 	Whitesky Peak 	144
Note 	Note #9 	Mei Yin 	47.2 	81.6 	The Caverns of Lost Hope 	152
Note 	Note #10 	Mei Yin 	27.3 	43.9 	Winter's Mouth 	165
Note 	Note #11 	Mei Yin 	20.5 	40.8 	Northern Plains 	193
Note 	Note #12 	Mei Yin 	12.8 	54.5 	Winter's Mouth 	194
Note 	Note #13 	Mei Yin 	21.3 	40.9 	Northern Plains 	195
Note 	Note #14 	Mei Yin 	15.3 	53.2 	Winter's Mouth 	196
Note 	Note #15 	Mei Yin 	26.8 	39.7 	Northern Plains 	197
Note 	Note #16 	Mei Yin 	34.4 	29.4 	The Western Plains 	198
Note 	Note #17 	Mei Yin 	28 	33.9 	Whitesky Peak 	199
Note 	Note #18 	Mei Yin 	26.6 	51.7 	Winter's Mouth 	200
Note 	Note #19 	Mei Yin 	39 	44.1 	The Grand Hills 	257
Note 	Note #20 	Mei Yin 	39.1 	71.1 	Northern Shores 	258
Note 	Note #21 	Mei Yin 	32.4 	73.3 	Far's Peak 	259
Note 	Note #22 	Mei Yin 	30.1 	82.4 	Far's Peak 	260
Note 	Note #23 	Mei Yin 	40.2 	78.8 	The Eastern Forest 	261
Note 	Note #24 	Mei Yin 	50.5 	23.3 	The Western Approach 	262
Note 	Note #25 	Mei Yin 	42.6 	23 	The Western Plains 	263
Note 	Note #26 	Mei Yin 	52.4 	17.3 	The Western Approach 	264
Note 	Note #27 	Mei Yin 	22.1 	9.7 	Whitesky Peak 	288
Note 	Note #28 	Mei Yin 	23.5 	37.8 	Whitesky Peak 	289
Note 	Note #29 	Mei Yin 	18.2 	38 	Whitesky Peak 	290
Note 	Note #30 	Mei Yin 	39.9 	40.6 	The Grand Hills 	291
Note 	Note #31 	Mei Yin 	13.3 	73.9 	Tek Cave ascension area 	354
Note 	Note #1 	Nerva 	22.4 	68.5 	The Hidden Lake 	5
Note 	Note #2 	Nerva 	35.7 	78.1 	Far's Peak 	84
Note 	Note #3 	Nerva 	39.5 	24.5 	The Western Plains 	85
Note 	Note #4 	Nerva 	41.2 	68 	The Maw 	86
Note 	Note #5 	Nerva 	45.4 	31.5 	The Grand Hills 	121
Note 	Note #6 	Nerva 	49.4 	79 	The Eastern Forest 	131
Note 	Note #7 	Nerva 	47.8 	60.9 	The Maw 	132
Note 	Note #8 	Nerva 	52.5 	49.1 	The Redwood Forests 	146
Note 	Note #9 	Nerva 	58.2 	19.8 	The Caverns of Lost Faith 	154
Note 	Note #10 	Nerva 	51.4 	54.6 	The Redwood Forests 	167
Note 	Note #11 	Nerva 	82.7 	27.1 	Cragg's Island 	201
Note 	Note #12 	Nerva 	77.4 	16.4 	Southern Jungle 	202
Note 	Note #13 	Nerva 	69.6 	84.6 	Southern Islets 	203
Note 	Note #14 	Nerva 	72.3 	59.2 	The Writhing Swamps 	204
Note 	Note #15 	Nerva 	62.1 	20.4 	Southern Jungle 	205
Note 	Note #16 	Nerva 	53.7 	77.8 	The Writhing Swamps 	206
Note 	Note #17 	Nerva 	43.3 	69.3 	The Eastern Plains 	207
Note 	Note #18 	Nerva 	57.9 	32.2 	The Redwood Forests 	208
Note 	Note #19 	Nerva 	43.4 	31 	The Grand Hills 	265
Note 	Note #20 	Nerva 	50.6 	38.5 	The Grand Hills 	266
Note 	Note #21 	Nerva 	54.8 	70.8 	The Writhing Swamps 	267
Note 	Note #22 	Nerva 	43.6 	61 	The Maw 	268
Note 	Note #23 	Nerva 	45.4 	68.4 	Eastern Plains 	269
Note 	Note #24 	Nerva 	44.1 	77 	The Eastern Forest 	270
Note 	Note #25 	Nerva 	55.2 	75.9 	The Writhing Swamps 	271
Note 	Note #26 	Nerva 	73.8 	17.6 	Southern Jungle 	272
Note 	Note #27 	Nerva 	56.2 	51.1 	The Red Peak 	292
Note 	Note #28 	Nerva 	47.9 	47.5 	The Grand Hills 	293
Note 	Note #29 	Nerva 	71.2 	58 	The Writhing Swamps 	294
Note 	Note #30 	Nerva 	43 	39.2 	Volcanic Maw 	295
Hologram 	Broodmother 	Ark 	N/A 	N/A 	Defeat the Broodmother 	87
Hologram 	Megapithecus 	Ark 	N/A 	N/A 	Defeat the Megapithecus 	88
Hologram 	Dragon 	Ark 	N/A 	N/A 	Defeat the Dragon 	89
Hologram 	Overseer 	Ark 	N/A 	N/A 	Defeat the Overseer 	353
Note 	Note #1 	??? 	23.7 	78.2 	Overseer Arena 	508
Note 	Note #4 	??? 	36.1 	79.0 	Far's Peak 	511
Note 	Note #7 	??? 	75.6 	60.5 	Southern Islets 	514
Note 	Note #10 	??? 	44.4 	23.7 	The Western Plains 	517
Note 	Note #13 	??? 	89.2 	24.4 	Cragg's Island 	520
Discovery 	Discovery #1 	HLN-A 	68.7 	85.9 	Lava Cave 	688
Discovery 	Discovery #2 	HLN-A 	70.4 	59.3 	Upper South Cave 	689
Discovery 	Discovery #3 	HLN-A 	27.9 	27.6 	Snow Cave 	690
Genesis 2 Chronicles 	Chronicles #1 	HLN-A 	19.7 	19.0 	North West Cave 	853
Genesis 2 Chronicles 	Chronicles #2 	HLN-A 	48.3 	80.3 	The Caverns of Lost Hope 	854
Genesis 2 Chronicles 	Chronicles #3 	HLN-A 	83.1 	53.8 	Lower South Cave 	855
Genesis 2 Chronicles 	Chronicles #4 	HLN-A 	15.4 	85.0 	North East Cave 	856
Genesis 2 Chronicles 	Chronicles #5 	HLN-A 	61.2 	21.3 	The Caverns of Lost Faith 	857 
